Brand,Mileage,Fuel Consumption (L/100km),Horsepower (HP),Price 
Audi,260886,9.5,213,12063.27
Opel,72505,6.5,335,33890.58
Mercedes,125356,9.9,445,92639.12
Volkswagen,130867,4.1,165,88003.5
Opel,57482,5.2,145,26028.97
Volkswagen,107269,10.1,449,15308.15
BMW,121481,10.8,456,44140.68
BMW,251434,11.6,368,5986.91
Porsche,157502,8.6,101,21694.91
BMW,25732,10.5,270,58172.74
Mercedes,264196,6.6,437,96926.17
Volkswagen,69449,7.5,137,21897.61
BMW,295610,11.4,231,12182.03
Volkswagen,97941,9.9,333,15725.01
Opel,235306,10,74,53162.29
Audi,86129,7.1,78,5581.21
Volkswagen,274728,11.1,454,65411.9
Volkswagen,35558,7.6,111,21605.04
Audi,292415,12,451,38185.54
Porsche,25451,9.5,215,94527.1
Opel,180520,10.9,125,96681.76
Mercedes,103349,5.4,331,29456.24
Opel,119078,3.5,76,79954.02
Mercedes,53607,7.6,171,97407.64
Mercedes,288215,9.9,327,18350.07
Audi,59165,6.6,157,40829.05
Volkswagen,155962,7.5,251,12431.02
Opel,65845,5.1,466,80090.82
Mercedes,294184,7.9,110,17642.96
Volkswagen,9076,7.3,120,57566.52
Mercedes,250318,6.6,417,50440.5
Audi,168165,7.8,164,33959.39
BMW,36757,6,227,81233.65
Volkswagen,162366,11.3,130,64447.73
Audi,39390,5.3,110,81259.02
Audi,294449,5.3,144,23362.07
Volkswagen,211415,6.9,298,85681.2
BMW,45706,7.9,489,56667.92
Opel,191494,4,296,98885.42
Mercedes,191185,8.2,188,25669.89
Volkswagen,155007,10.3,344,90673.66
BMW,12719,10.2,395,12412.04
BMW,154609,10.5,153,97808.57
Volkswagen,139858,11.3,266,44431.78
BMW,213014,9.1,412,78689.39
Audi,287541,10.8,99,64913.78
Audi,101366,6.7,265,19073.1
BMW,230730,4.8,112,69961.24
Mercedes,206806,8.6,112,89225.65
BMW,81041,10.5,354,92643.5
Mercedes,161443,9.7,399,58991.32
Opel,80577,8.5,304,15951
Mercedes,233266,6.1,234,24418.26
BMW,237395,5.8,239,42473.46
Mercedes,177807,10.2,365,96327.48
BMW,18861,7.7,430,20898.47
Opel,160313,5.1,332,21695.67
